"Game","Date","1","2","3","4","5","6","Additional number","some_1","Some_2"
"2612","30/08/14","2","9","28","31","32","35","6","0","0"
"2611","26/08/14","2","7","10","23","26","35","6","1","0"
"2610","23/08/14","5","15","20","25","27","32","4","0","0"
"2609","19/08/14","4","16","30","32","34","36","4","0","0"
"2608","16/08/14","2","5","7","16","22","37","4","0","0"
"2607","12/08/14","3","15","21","28","30","32","4","0","0"
"2606","09/08/14","4","11","13","20","32","35","2","0","0"
"2605","05/08/14","5","9","21","23","28","33","7","0","0"
"2604","02/08/14","6","13","14","21","23","26","6","0","1"
"2603","29/07/14","3","5","8","16","17","20","2","0","1"
"2602","26/07/14","2","3","28","30","33","35","5","0","0"
"2601","22/07/14","2","10","12","23","30","33","5","0","0"
"2600","19/07/14","4","11","27","32","34","37","4","0","0"
"2599","15/07/14","7","14","20","27","29","31","5","1","0"
"2598","12/07/14","4","11","12","13","20","27","2","0","1"
"2597","08/07/14","2","5","18","19","20","31","1","0","0"
"2596","05/07/14","1","10","17","21","22","31","4","0","0"
"2595","01/07/14","5","13","17","26","29","33","5","0","1"
"2594","28/06/14","1","2","6","19","29","33","7","0","0"
"2593","24/06/14","7","8","15","30","33","34","6","0","0"
"2592","21/06/14","8","11","22","33","34","35","6","0","0"
"2591","17/06/14","7","8","15","18","29","34","4","0","0"
"2590","14/06/14","13","15","24","25","30","32","5","0","0"
"2589","10/06/14","6","8","9","25","29","37","3","0","0"
"2588","07/06/14","4","9","10","14","19","35","2","0","0"
"2587","04/06/14","11","17","19","31","36","37","1","0","0"
"2586","31/05/14","5","11","12","13","15","22","7","0","0"
"2585","27/05/14","3","4","6","18","26","29","3","0","1"
"2584","24/05/14","5","10","19","25","32","35","7","0","0"
"2583","20/05/14","2","6","12","26","30","35","3","0","0"
"2582","17/05/14","1","3","11","16","20","35","2","0","0"
"2581","13/05/14","3","11","17","20","31","32","6","1","0"
"2580","10/05/14","1","2","3","4","7","25","2","0","2"
"2579","07/05/14","6","8","9","17","29","30","4","0","0"
"2578","03/05/14","20","22","28","31","35","36","3","0","1"
"2577","29/04/14","3","5","9","14","22","23","7","0","0"
"2576","26/04/14","2","4","13","16","29","34","1","0","0"
"2575","22/04/14","1","3","5","16","26","30","5","1","0"
"2574","19/04/14","2","3","20","31","35","37","7","0","0"
"2573","16/04/14","4","9","23","28","34","36","5","0","0"
"2572","12/04/14","11","16","19","24","27","35","3","0","0"
"2571","08/04/14","10","21","28","30","31","35","6","0","0"
"2570","05/04/14","2","12","18","28","33","34","1","0","0"
"2569","01/04/14","15","17","23","25","30","35","2","0","0"
"2568","29/03/14","4","13","24","25","32","34","2","0","0"
"2567","25/03/14","3","6","16","28","32","33","2","0","0"
"2566","22/03/14","3","4","23","26","31","35","3","1","0"
"2565","18/03/14","4","9","12","14","17","29","2","0","0"
"2564","15/03/14","7","17","24","29","36","37","7","0","0"
"2563","11/03/14","1","3","6","9","34","37","3","1","0"
"2562","08/03/14","17","21","23","24","26","35","2","0","0"
"2561","04/03/14","3","6","17","23","27","32","6","0","0"
"2560","01/03/14","4","8","9","22","29","33","6","0","0"
"2559","25/02/14","5","6","11","21","22","28","2","0","0"
"2558","22/02/14","3","8","23","26","28","29","6","0","0"
"2557","18/02/14","3","7","14","21","27","37","6","1","0"
"2556","15/02/14","1","6","10","16","21","22","4","2","0"
"2555","11/02/14","2","5","18","20","23","29","3","0","0"
"2554","08/02/14","16","22","26","29","36","37","3","0","0"
"2553","04/02/14","1","2","4","28","29","31","5","0","0"
"2552","01/02/14","1","5","12","22","24","27","6","0","0"
"2551","28/01/14","20","24","26","28","32","33","6","0","0"
"2550","25/01/14","13","15","26","28","29","36","2","0","0"
"2549","21/01/14","18","22","30","34","35","37","7","0","0"
"2548","18/01/14","1","11","15","16","23","32","5","0","0"
"2547","14/01/14","2","8","10","13","35","37","5","0","0"
"2546","11/01/14","1","3","4","22","28","36","2","0","0"
"2545","07/01/14","12","13","18","31","32","36","7","0","0"
"2544","04/01/14","7","9","13","18","21","22","4","1","0"
"2543","31/12/13","7","9","10","22","24","33","4","0","0"
"2542","28/12/13","4","14","16","21","33","36","3","0","0"
"2541","24/12/13","9","18","25","30","33","37","5","0","0"
"2540","21/12/13","5","20","21","26","30","35","1","0","0"
"2539","17/12/13","13","15","17","24","26","27","3","0","0"
"2538","14/12/13","5","11","25","26","29","36","3","0","0"
"2537","10/12/13","1","8","12","19","26","27","3","0","0"
"2536","07/12/13","1","3","11","13","21","28","7","0","0"
"2535","03/12/13","2","10","16","26","27","30","4","0","0"
"2534","30/11/13","11","21","29","33","35","37","4","0","0"
"2533","26/11/13","11","14","19","21","26","33","7","0","0"
"2532","23/11/13","1","9","17","29","30","37","5","0","0"
"2531","19/11/13","4","6","10","17","28","32","4","0","0"
"2530","16/11/13","7","19","22","28","30","33","4","0","1"
"2529","12/11/13","14","22","24","33","35","36","7","0","0"
"2528","09/11/13","3","4","24","27","31","36","2","0","0"
"2527","05/11/13","1","10","12","19","35","36","6","1","1"
"2526","02/11/13","2","8","12","19","26","27","6","0","0"
"2525","29/10/13","1","7","10","21","28","30","1","0","0"
"2524","26/10/13","1","2","7","12","29","33","3","0","0"
"2523","22/10/13","11","17","21","23","26","27","3","0","0"
"2522","19/10/13","6","13","15","22","23","37","6","0","0"
"2521","15/10/13","5","8","10","20","34","37","2","0","0"
"2520","12/10/13","3","8","16","19","25","27","1","0","0"
"2519","08/10/13","3","7","13","17","18","28","7","0","0"
"2518","05/10/13","2","4","12","27","34","37","2","0","0"
"2517","01/10/13","10","11","19","21","23","29","4","0","0"
"2516","28/09/13","3","9","14","20","34","35","2","0","1"
"2515","24/09/13","11","21","22","23","28","37","5","0","0"
"2514","21/09/13","3","8","17","19","24","33","6","0","0"
"2513","17/09/13","17","20","26","28","30","33","4","0","0"
"2512","15/09/13","1","3","4","6","12","13","4","0","0"
"2511","10/09/13","3","13","24","27","33","35","3","0","0"
"2510","08/09/13","2","6","16","28","35","37","7","0","0"
"2509","03/09/13","8","14","27","29","33","37","6","1","0"
"2508","31/08/13","7","12","16","22","24","25","3","0","0"
"2507","27/08/13","4","16","17","19","30","34","5","0","0"
"2506","24/08/13","6","10","11","15","19","24","5","0","0"
"2505","20/08/13","8","13","16","17","29","37","6","0","0"
"2504","17/08/13","5","9","17","19","33","35","7","0","0"
"2503","13/08/13","1","5","14","19","26","28","4","0","0"
"2502","10/08/13","1","3","18","19","35","37","6","0","0"
"2501","06/08/13","2","3","4","27","30","32","6","0","0"
"2500","03/08/13","5","8","9","17","24","32","5","0","0"
"2499","30/07/13","13","14","26","29","31","35","1","0","0"
"2498","27/07/13","8","9","11","16","31","34","4","0","1"
"2497","23/07/13","8","13","23","26","27","29","3","0","0"
"2496","20/07/13","3","7","8","24","34","36","2","0","0"
"2495","16/07/13","4","11","12","15","30","33","1","0","0"
"2494","13/07/13","12","18","19","28","29","34","7","0","0"
"2493","09/07/13","7","16","19","21","31","36","3","0","0"
"2492","06/07/13","4","19","27","30","31","35","5","0","0"
"2491","02/07/13","4","10","15","24","28","29","5","1","0"
"2490","29/06/13","8","10","17","18","35","37","1","0","0"
"2489","25/06/13","4","21","22","23","27","35","5","1","0"
"2488","22/06/13","3","6","7","10","16","30","4","0","0"
"2487","18/06/13","3","9","10","22","28","33","7","0","0"
"2486","15/06/13","11","15","21","29","31","36","3","0","0"
"2485","11/06/13","3","21","25","26","36","37","1","0","0"
"2484","08/06/13","4","6","17","19","21","36","3","0","0"
"2483","04/06/13","13","17","21","27","29","31","4","0","0"
"2482","01/06/13","12","19","21","23","26","35","5","2","0"
"2481","28/05/13","2","11","16","18","26","36","4","1","0"
"2480","25/05/13","3","9","21","26","29","37","1","0","0"
"2479","21/05/13","8","10","14","17","20","34","1","1","0"
"2478","18/05/13","2","4","24","25","32","34","1","0","0"
"2477","15/05/13","3","7","15","19","24","33","4","0","0"
"2476","11/05/13","7","20","26","33","34","35","3","0","0"
"2475","07/05/13","10","19","20","24","28","33","3","0","0"
"2474","04/05/13","1","4","6","9","25","35","1","0","0"
"2473","30/04/13","1","2","3","10","16","29","6","0","0"
"2472","27/04/13","12","13","28","33","35","37","5","0","0"
"2471","23/04/13","2","7","12","19","27","37","6","0","0"
"2470","20/04/13","18","20","25","27","32","36","1","0","0"
"2469","17/04/13","1","26","28","32","33","35","5","0","0"
